origin,sex,date,value
tot,tot,2019-05-01,4.0915452471340545
tot,tot,2019-06-01,4.0754612607101395
tot,tot,2019-07-01,4.500586784756028
tot,tot,2019-08-01,4.698154926920498
tot,tot,2019-09-01,4.516319656937399
tot,tot,2019-10-01,3.9249069405960917
tot,tot,2019-11-01,3.780221301149863
tot,tot,2019-12-01,4.0037844642150295
tot,tot,2020-01-01,4.440617594282033
tot,tot,2020-02-01,4.4858634402415065
tot,tot,2020-03-01,4.557928360965113
tot,tot,2020-04-01,4.504892629516663
tot,tot,2020-05-01,4.546512361441433
tot,tot,2020-06-01,4.694321117455459
tot,tot,2020-07-01,5.166028936008823
tot,tot,2020-08-01,5.349475408546931
tot,tot,2020-09-01,5.235834235942562
tot,tot,2020-10-01,4.837558141016663
tot,tot,2020-11-01,4.815701221145117
tot,tot,2020-12-01,5.146951372704946
tot,tot,2021-01-01,5.745224845243979
tot,tot,2021-02-01,5.913840858173034
tot,tot,2021-03-01,5.73008367644383
tot,tot,2021-04-01,5.21839826846916
tot,tot,2021-05-01,4.936954931011727
tot,tot,2021-06-01,4.847408079886425
tot,tot,2021-07-01,5.083092981388765
tot,tot,2021-08-01,5.09717045416014
tot,tot,2021-09-01,4.850811497631036
tot,tot,2021-10-01,4.320548954221056
tot,tot,2021-11-01,4.152316529066901
tot,tot,2021-12-01,4.284417716416184
tot,tot,2022-01-01,4.544048512914163
tot,tot,2022-02-01,4.551526727721733
tot,tot,2022-03-01,4.407371745046781
tot,tot,2022-04-01,4.130432161962259
tot,tot,2022-05-01,3.926921628056771
tot,tot,2022-06-01,3.8690936547141717
tot,tot,2022-07-01,4.016974526059624
tot,tot,2022-08-01,4.06509466855454
tot,tot,2022-09-01,4.027145877786404
tot,tot,2022-10-01,3.922101861173784
tot,tot,2022-11-01,3.952408822817461
tot,tot,2022-12-01,4.060293717960066
