D0,D1,D2,D3,date,value
AV1,KC5A,T1,B,2003-04-01,159896
AV1,KC5A,T1,B,2003-05-01,158937
AV1,KC5A,T1,B,2003-06-01,161096
AV1,KC5A,T1,B,2003-07-01,158986
AV1,KC5A,T1,B,2003-08-01,158607
AV1,KC5A,T1,B,2003-09-01,158610
AV1,KC5A,T1,B,2003-10-01,158574
AV1,KC5A,T1,B,2003-11-01,158798
AV1,KC5A,T1,B,2003-12-01,156567
AV1,KC5A,T1,B,2004-01-01,157366
AV1,KC5A,T1,B,2004-02-01,161971
AV1,KC5A,T1,B,2004-03-01,159978
AV1,KC5A,T1,B,2004-04-01,157548
AV1,KC5A,T1,B,2004-05-01,156655
AV1,KC5A,T1,B,2004-06-01,157805
AV1,KC5A,T1,B,2004-07-01,158508
AV1,KC5A,T1,B,2004-08-01,158807
AV1,KC5A,T1,B,2004-09-01,158112
AV1,KC5A,T1,B,2004-10-01,161184
AV1,KC5A,T1,B,2004-11-01,160679
AV1,KC5A,T1,B,2004-12-01,161835
AV1,KC5A,T1,B,2005-01-01,171054
AV1,KC5A,T1,B,2005-02-01,169970
AV1,KC5A,T1,B,2005-03-01,174579
AV1,KC5A,T1,B,2005-04-01,174187
AV1,KC5A,T1,B,2005-05-01,173270
AV1,KC5A,T1,B,2005-06-01,175260
AV1,KC5A,T1,B,2005-07-01,174757
AV1,KC5A,T1,B,2005-08-01,173180
AV1,KC5A,T1,B,2005-09-01,172781
AV1,KC5A,T1,B,2005-10-01,173475
AV1,KC5A,T1,B,2005-11-01,173817
AV1,KC5A,T1,B,2005-12-01,171781
AV1,KC5A,T1,B,2006-01-01,172260
AV1,KC5A,T1,B,2006-02-01,171573
AV1,KC5A,T1,B,2006-03-01,172729
AV1,KC5A,T1,B,2006-04-01,173613
AV1,KC5A,T1,B,2006-05-01,173423
AV1,KC5A,T1,B,2006-06-01,174902
AV1,KC5A,T1,B,2006-07-01,175125
AV1,KC5A,T1,B,2006-08-01,176721
AV1,KC5A,T1,B,2006-09-01,186501
AV1,KC5A,T1,B,2006-10-01,184611
AV1,KC5A,T1,B,2006-11-01,186721
AV1,KC5A,T1,B,2006-12-01,186142
AV1,KC5A,T1,B,2007-01-01,186295
AV1,KC5A,T1,B,2007-02-01,185189
AV1,KC5A,T1,B,2007-03-01,188888
AV1,KC5A,T1,B,2007-04-01,187540
AV1,KC5A,T1,B,2007-05-01,185842
AV1,KC5A,T1,B,2007-06-01,187922
AV1,KC5A,T1,B,2007-07-01,189253
AV1,KC5A,T1,B,2007-08-01,190480
AV1,KC5A,T1,B,2007-09-01,189919
AV1,KC5A,T1,B,2007-10-01,191569
AV1,KC5A,T1,B,2007-11-01,189743
AV1,KC5A,T1,B,2007-12-01,188563
AV1,KC5A,T1,B,2008-01-01,189045
AV1,KC5A,T1,B,2008-02-01,188602
AV1,KC5A,T1,B,2008-03-01,243406
AV1,KC5A,T1,B,2008-04-01,236679
AV1,KC5A,T1,B,2008-05-01,234311
AV1,KC5A,T1,B,2008-06-01,235943
AV1,KC5A,T1,B,2008-07-01,235784
AV1,KC5A,T1,B,2008-08-01,240742
